STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-19,0,57,39,2014,5,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-20,0,62,38,2014,5,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-21,0,60,39,2014,5,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-22,0,64,42,2014,5,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-23,0.1,57,42,2014,5,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-24,0.1,55,41,2014,5,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-25,0,63,42,2014,5,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-26,0,68,44,2014,5,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-27,0,72,51,2014,5,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-28,0,72,55,2014,5,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-29,0,66,49,2014,5,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-30,0,69,47,2014,5,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-31,0,67,47,2014,5,31
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-01,0,62,44,2014,6,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-02,0,71,44,2014,6,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-03,0,67,49,2014,6,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-04,0,68,46,2014,6,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-05,0,67,45,2014,6,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-06,0,69,45,2014,6,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-07,0,69,47,2014,6,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-08,0,61,41,2014,6,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-09,0,67,38,2014,6,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-10,0,72,51,2014,6,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-11,0,67,47,2014,6,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-12,0,71,45,2014,6,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-13,0,67,45,2014,6,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-14,0,54,36,2014,6,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-15,0,61,37,2014,6,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-16,0,54,41,2014,6,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-17,0.3,48,29,2014,6,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-18,0.2,50,28,2014,6,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-19,0,62,36,2014,6,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-20,0,72,44,2014,6,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-21,0,69,50,2014,6,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-22,0,71,49,2014,6,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-23,0,72,48,2014,6,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-24,0,76,50,2014,6,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-25,0,75,49,2014,6,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-26,0,68,44,2014,6,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-27,0,59,42,2014,6,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-28,0,66,43,2014,6,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-29,0,72,49,2014,6,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-06-30,0,68,47,2014,6,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-01,0,73,45,2014,7,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-02,0,79,50,2014,7,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-03,0,76,56,2014,7,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-04,0,78,53,2014,7,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-05,0,79,54,2014,7,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-06,0,80,55,2014,7,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-07,0,80,57,2014,7,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-08,0,80,56,2014,7,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-09,0,77,57,2014,7,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-10,0.1,76,52,2014,7,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-11,0.1,68,51,2014,7,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-12,0,76,51,2014,7,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-13,0,79,55,2014,7,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-14,0,82,57,2014,7,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-15,0,79,54,2014,7,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-16,0,73,51,2014,7,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-17,0,75,49,2014,7,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-18,0,76,55,2014,7,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-19,0,78,54,2014,7,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-20,0,76,53,2014,7,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-21,0,75,58,2014,7,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-22,0,81,52,2014,7,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-23,0,82,59,2014,7,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-24,0,80,57,2014,7,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-25,0,79,57,2014,7,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-26,0,79,55,2014,7,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-27,0,82,56,2014,7,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-28,0,75,53,2014,7,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-29,0.1,61,52,2014,7,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-30,0,61,49,2014,7,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-07-31,0,70,48,2014,7,31
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-01,0.1,73,49,2014,8,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-02,0,74,53,2014,8,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-03,0,74,50,2014,8,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-04,0.5,70,49,2014,8,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-05,0.4,67,47,2014,8,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-06,0.2,70,47,2014,8,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-07,0,68,44,2014,8,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-08,0,69,46,2014,8,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-09,0,68,48,2014,8,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-10,0,74,50,2014,8,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-11,0,76,51,2014,8,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-12,0.1,72,50,2014,8,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-13,0,63,49,2014,8,13
